name,k,q,k-plexes,time,size
jazz,2,10,15466,10.09511399269104,198
jazz,2,20,12,3.435044527053833,198
jazz,2,30,1,1.9429192543029785,198
jazz,2,50,0,1.0218663215637207,198
jazz,2,100,0,0.7117066383361816,198
jazz,3,10,473567,211.9340524673462,198
jazz,3,20,12,27.648184776306152,198
jazz,3,30,1,13.16345739364624,198
jazz,3,50,0,5.871949672698975,198
jazz,3,100,0,2.165583848953247,198
jazz,4,10,16710382,-1.0,198
jazz,4,20,489,739.5366308689117,198
jazz,4,30,1,328.08709025382996,198
jazz,4,50,0,95.99354243278503,198
jazz,4,100,0,13.555643320083618,198
jazz,5,10,inf,-1.0,198
jazz,5,20,7341,-1.0,198
jazz,5,30,1,-1.0,198
jazz,5,50,0,-1.0,198
jazz,5,100,0,186.70060920715332,198
celegansneural,2,10,2,0.5051059722900391,297
celegansneural,2,20,0,0.40751194953918457,297
celegansneural,2,30,0,0.3440990447998047,297
celegansneural,2,50,0,0.28994059562683105,297
celegansneural,2,100,0,0.22797036170959473,297
celegansneural,3,10,135,9.946960210800171,297
celegansneural,3,20,0,6.980475902557373,297
celegansneural,3,30,0,5.697085618972778,297
celegansneural,3,50,0,3.964219331741333,297
celegansneural,3,100,0,1.570298194885254,297
celegansneural,4,10,6613,385.7360682487488,297
celegansneural,4,20,0,275.54715275764465,297
celegansneural,4,30,0,296.9477379322052,297
celegansneural,4,50,0,185.60207343101501,297
celegansneural,4,100,0,53.34534740447998,297
celegansneural,5,10,397909,-1.0,297
celegansneural,5,20,0,-1.0,297
celegansneural,5,30,0,-1.0,297
celegansneural,5,50,0,-1.0,297
celegansneural,5,100,0,1454.5907235145569,297
facebook_combined,2,10,inf,-1.0,4039
facebook_combined,2,20,inf,-1.0,4039
facebook_combined,2,30,inf,-1.0,4039
facebook_combined,2,50,inf,-1.0,4039
facebook_combined,2,100,inf,-1.0,4039
facebook_combined,3,10,inf,-1.0,4039
facebook_combined,3,20,inf,-1.0,4039
facebook_combined,3,30,inf,-1.0,4039
facebook_combined,3,50,inf,-1.0,4039
facebook_combined,3,100,inf,-1.0,4039
facebook_combined,4,10,inf,-1.0,4039
facebook_combined,4,20,inf,-1.0,4039
facebook_combined,4,30,inf,-1.0,4039
facebook_combined,4,50,inf,-1.0,4039
facebook_combined,4,100,inf,-1.0,4039
facebook_combined,5,10,inf,-1.0,4039
facebook_combined,5,20,inf,-1.0,4039
facebook_combined,5,30,inf,-1.0,4039
facebook_combined,5,50,inf,-1.0,4039
facebook_combined,5,100,inf,-1.0,4039
ca-GrQc,2,10,inf,0.35771846771240234,5241
ca-GrQc,2,20,inf,0.3870205879211426,5241
ca-GrQc,2,30,inf,0.3963589668273926,5241
ca-GrQc,2,50,inf,0.3448009490966797,5241
ca-GrQc,2,100,inf,0.35065436363220215,5241
ca-GrQc,3,10,inf,0.38126087188720703,5241
ca-GrQc,3,20,inf,0.36367011070251465,5241
ca-GrQc,3,30,inf,0.3830091953277588,5241
ca-GrQc,3,50,inf,0.38222575187683105,5241
ca-GrQc,3,100,inf,0.41089653968811035,5241
ca-GrQc,4,10,inf,0.37332940101623535,5241
ca-GrQc,4,20,inf,0.35020017623901367,5241
ca-GrQc,4,30,inf,0.35211682319641113,5241
ca-GrQc,4,50,inf,0.360870361328125,5241
ca-GrQc,4,100,inf,0.35627102851867676,5241
ca-GrQc,5,10,inf,0.39066481590270996,5241
ca-GrQc,5,20,inf,0.36286258697509766,5241
ca-GrQc,5,30,inf,0.3700993061065674,5241
ca-GrQc,5,50,inf,0.3710026741027832,5241
ca-GrQc,5,100,inf,0.37367749214172363,5241
wiki-Vote,2,10,inf,0.35695695877075195,7115
wiki-Vote,2,20,inf,0.3800323009490967,7115
wiki-Vote,2,30,inf,0.3552870750427246,7115
wiki-Vote,2,50,inf,0.3655357360839844,7115
wiki-Vote,2,100,inf,0.3724362850189209,7115
wiki-Vote,3,10,inf,0.40692782402038574,7115
wiki-Vote,3,20,inf,0.3520822525024414,7115
wiki-Vote,3,30,inf,0.34110164642333984,7115
wiki-Vote,3,50,inf,0.37146806716918945,7115
wiki-Vote,3,100,inf,0.34068822860717773,7115
wiki-Vote,4,10,inf,0.34778594970703125,7115
wiki-Vote,4,20,inf,0.3906569480895996,7115
wiki-Vote,4,30,inf,0.37738680839538574,7115
wiki-Vote,4,50,inf,0.36467885971069336,7115
wiki-Vote,4,100,inf,0.37008023262023926,7115
wiki-Vote,5,10,inf,0.35637378692626953,7115
wiki-Vote,5,20,inf,0.35953640937805176,7115
wiki-Vote,5,30,inf,0.37218546867370605,7115
wiki-Vote,5,50,inf,0.35765933990478516,7115
wiki-Vote,5,100,inf,0.38688039779663086,7115
lastfm_asia_edges,2,10,21407,27.49161696434021,7624
lastfm_asia_edges,2,20,0,7.531856536865234,7624
lastfm_asia_edges,2,30,0,6.5635902881622314,7624
lastfm_asia_edges,2,50,0,6.148868083953857,7624
lastfm_asia_edges,2,100,0,4.6319053173065186,7624
lastfm_asia_edges,3,10,458606,845.9539124965668,7624
lastfm_asia_edges,3,20,0,383.67820978164673,7624
lastfm_asia_edges,3,30,0,345.08597898483276,7624
lastfm_asia_edges,3,50,0,270.866427898407,7624
lastfm_asia_edges,3,100,0,201.97151851654053,7624
lastfm_asia_edges,4,10,inf,-1.0,7624
lastfm_asia_edges,4,20,inf,-1.0,7624
lastfm_asia_edges,4,30,inf,-1.0,7624
lastfm_asia_edges,4,50,inf,-1.0,7624
lastfm_asia_edges,4,100,inf,-1.0,7624
lastfm_asia_edges,5,10,inf,-1.0,7624
lastfm_asia_edges,5,20,inf,-1.0,7624
lastfm_asia_edges,5,30,inf,-1.0,7624
lastfm_asia_edges,5,50,inf,-1.0,7624
lastfm_asia_edges,5,100,inf,-1.0,7624
as-caida20071105,2,10,inf,0.3758361339569092,26475
as-caida20071105,2,20,inf,0.34339070320129395,26475
as-caida20071105,2,30,inf,0.37616753578186035,26475
as-caida20071105,2,50,inf,0.3547847270965576,26475
as-caida20071105,2,100,inf,0.3533346652984619,26475
as-caida20071105,3,10,inf,0.3470265865325928,26475
as-caida20071105,3,20,inf,0.35794544219970703,26475
as-caida20071105,3,30,inf,0.394336462020874,26475
as-caida20071105,3,50,inf,0.3629732131958008,26475
as-caida20071105,3,100,inf,0.40703535079956055,26475
as-caida20071105,4,10,inf,0.33371591567993164,26475
as-caida20071105,4,20,inf,0.35526108741760254,26475
as-caida20071105,4,30,inf,0.3516111373901367,26475
as-caida20071105,4,50,inf,0.3626594543457031,26475
as-caida20071105,4,100,inf,0.34252190589904785,26475
as-caida20071105,5,10,inf,0.38939595222473145,26475
as-caida20071105,5,20,inf,0.3633692264556885,26475
as-caida20071105,5,30,inf,0.3644106388092041,26475
as-caida20071105,5,50,inf,0.363004207611084,26475
as-caida20071105,5,100,inf,0.36232566833496094,26475
hollywood-2009,2,10,inf,-1.0,51140
hollywood-2009,2,20,inf,-1.0,51140
hollywood-2009,2,30,inf,-1.0,51140
hollywood-2009,2,50,inf,-1.0,51140
hollywood-2009,2,100,inf,-1.0,51140
hollywood-2009,3,10,inf,-1.0,51140
hollywood-2009,3,20,inf,-1.0,51140
hollywood-2009,3,30,inf,-1.0,51140
hollywood-2009,3,50,inf,-1.0,51140
hollywood-2009,3,100,inf,-1.0,51140
hollywood-2009,4,10,inf,-1.0,51140
hollywood-2009,4,20,inf,-1.0,51140
hollywood-2009,4,30,inf,-1.0,51140
hollywood-2009,4,50,inf,-1.0,51140
hollywood-2009,4,100,inf,-1.0,51140
hollywood-2009,5,10,inf,-1.0,51140
hollywood-2009,5,20,inf,-1.0,51140
hollywood-2009,5,30,inf,-1.0,51140
hollywood-2009,5,50,inf,-1.0,51140
hollywood-2009,5,100,inf,-1.0,51140
p2p-Gnutella31,2,10,inf,0.36564064025878906,62586
p2p-Gnutella31,2,20,inf,0.35304927825927734,62586
p2p-Gnutella31,2,30,inf,0.35399580001831055,62586
p2p-Gnutella31,2,50,inf,0.3381662368774414,62586
p2p-Gnutella31,2,100,inf,0.3757359981536865,62586
p2p-Gnutella31,3,10,inf,0.37087297439575195,62586
p2p-Gnutella31,3,20,inf,0.34778594970703125,62586
p2p-Gnutella31,3,30,inf,0.3363943099975586,62586
p2p-Gnutella31,3,50,inf,0.37379884719848633,62586
p2p-Gnutella31,3,100,inf,0.3633229732513428,62586
p2p-Gnutella31,4,10,inf,0.36040306091308594,62586
p2p-Gnutella31,4,20,inf,0.37094569206237793,62586
p2p-Gnutella31,4,30,inf,0.34577178955078125,62586
p2p-Gnutella31,4,50,inf,0.35308361053466797,62586
p2p-Gnutella31,4,100,inf,0.36768603324890137,62586
p2p-Gnutella31,5,10,inf,0.3010878562927246,62586
p2p-Gnutella31,5,20,inf,0.3702394962310791,62586
p2p-Gnutella31,5,30,inf,0.3608582019805908,62586
p2p-Gnutella31,5,50,inf,0.370455265045166,62586
p2p-Gnutella31,5,100,inf,0.3538646697998047,62586
soc-Epinions1,2,10,inf,0.34462428092956543,75879
soc-Epinions1,2,20,inf,0.38743114471435547,75879
soc-Epinions1,2,30,inf,0.3545823097229004,75879
soc-Epinions1,2,50,inf,0.34337759017944336,75879
soc-Epinions1,2,100,inf,0.3414480686187744,75879
soc-Epinions1,3,10,inf,0.3596806526184082,75879
soc-Epinions1,3,20,inf,0.3560211658477783,75879
soc-Epinions1,3,30,inf,0.35616087913513184,75879
soc-Epinions1,3,50,inf,0.35873842239379883,75879
soc-Epinions1,3,100,inf,0.33034729957580566,75879
soc-Epinions1,4,10,inf,0.3751091957092285,75879
soc-Epinions1,4,20,inf,0.35135960578918457,75879
soc-Epinions1,4,30,inf,0.34227967262268066,75879
soc-Epinions1,4,50,inf,0.34273409843444824,75879
soc-Epinions1,4,100,inf,0.335341215133667,75879
soc-Epinions1,5,10,inf,0.34673500061035156,75879
soc-Epinions1,5,20,inf,0.34644293785095215,75879
soc-Epinions1,5,30,inf,0.35335755348205566,75879
