name,k,q,k-plexes,time,size
jazz,2,10,15523,5.917335510253906,198
jazz,2,20,inf,-1.0,198
jazz,2,30,1,2.8096976280212402,198
jazz,2,50,0,1.3441593647003174,198
jazz,2,100,0,1.006291151046753,198
jazz,3,10,inf,-1.0,198
jazz,3,20,inf,-1.0,198
jazz,3,30,1,11.767306804656982,198
jazz,3,50,inf,-1.0,198
jazz,3,100,0,1.5355818271636963,198
jazz,4,10,inf,-1.0,198
jazz,4,20,489,800.9176716804504,198
jazz,4,30,inf,-1.0,198
jazz,4,50,0,158.07750463485718,198
jazz,4,100,inf,-1.0,198
jazz,5,10,618260662,118163.862,198
jazz,5,20,7341,28933.162,198
jazz,5,30,1,14235.415,198
jazz,5,50,inf,-1.0,198
jazz,5,100,0,343.25234723091125,198
celegansneural,2,10,2,3.133880376815796,297
celegansneural,2,20,0,2.120666980743408,297
celegansneural,2,30,0,1.683257818222046,297
celegansneural,2,50,0,1.226531982421875,297
celegansneural,2,100,0,1.2237815856933594,297
celegansneural,3,10,inf,-1.0,297
celegansneural,3,20,inf,-1.0,297
celegansneural,3,30,0,9.671147108078003,297
celegansneural,3,50,inf,-1.0,297
celegansneural,3,100,0,3.1155576705932617,297
celegansneural,4,10,inf,-1.0,297
celegansneural,4,20,0,523.0503115653992,297
celegansneural,4,30,inf,-1.0,297
celegansneural,4,50,0,249.5176227092743,297
celegansneural,4,100,inf,-1.0,297
celegansneural,5,10,397909,43151.62,297
celegansneural,5,20,0,31080.682,297
celegansneural,5,30,0,22789.607,297
celegansneural,5,50,0,12647.299,297
celegansneural,5,100,0,2961.268,297
ca-GrQc,2,10,2441,1.3424263000488281,5241
ca-GrQc,2,20,813,1.2743310928344727,5241
ca-GrQc,2,30,70,0.9504191875457764,5241
ca-GrQc,2,50,0,0.815176248550415,5241
ca-GrQc,2,100,0,0.5600018501281738,5241
ca-GrQc,3,10,57812,35.61347842216492,5241
ca-GrQc,3,20,13262,22.97380018234253,5241
