name,k,q,k-plexes,time,size
karate_edges,2,10,0,0.03909659385681152,77
karate_edges,2,20,0,0.044709205627441406,77
karate_edges,2,30,0,0.038762807846069336,77
karate_edges,2,50,0,0.05417299270629883,77
karate_edges,2,100,0,0.04529118537902832,77
karate_edges,3,10,0,0.08161425590515137,77
karate_edges,3,20,0,0.06100106239318848,77
karate_edges,3,30,0,0.05548429489135742,77
karate_edges,3,50,0,0.04281473159790039,77
karate_edges,3,100,0,0.039808034896850586,77
karate_edges,4,10,0,0.052195072174072266,77
karate_edges,4,20,0,0.08279561996459961,77
karate_edges,4,30,0,0.04736948013305664,77
karate_edges,4,50,0,0.04989051818847656,77
karate_edges,4,100,0,0.05629253387451172,77
karate_edges,5,10,0,0.04912590980529785,77
karate_edges,5,20,0,0.052938222885131836,77
karate_edges,5,30,0,0.05431652069091797,77
karate_edges,5,50,0,0.05893898010253906,77
karate_edges,5,100,0,0.04726839065551758,77
jazz,2,10,8059,0.20842480659484863,198
jazz,2,20,2,0.04770159721374512,198
jazz,2,30,1,0.04845428466796875,198
jazz,2,50,0,0.07322120666503906,198
jazz,2,100,0,0.05976295471191406,198
jazz,3,10,257233,5.602659702301025,198
jazz,3,20,2,0.056612253189086914,198
jazz,3,30,1,0.04513859748840332,198
jazz,3,50,0,0.045963287353515625,198
jazz,3,100,0,0.08952546119689941,198
jazz,4,10,10079739,193.14696860313416,198
jazz,4,20,479,0.09418058395385742,198
jazz,4,30,1,0.034488677978515625,198
jazz,4,50,0,0.04048562049865723,198
jazz,4,100,0,0.062074899673461914,198
jazz,5,10,55101957,-1.0,198
jazz,5,20,6193,1.0349092483520508,198
jazz,5,30,1,0.034912109375,198
jazz,5,50,0,0.0357511043548584,198
jazz,5,100,0,0.05220937728881836,198
celegansneural,2,10,2,0.08239555358886719,297
celegansneural,2,20,0,0.05690360069274902,297
celegansneural,2,30,0,0.058251142501831055,297
celegansneural,2,50,0,0.06773161888122559,297
celegansneural,2,100,0,0.0348968505859375,297
celegansneural,3,10,127,0.04862570762634277,297
celegansneural,3,20,0,0.03773093223571777,297
celegansneural,3,30,0,0.06969594955444336,297
celegansneural,3,50,0,0.04546213150024414,297
celegansneural,3,100,0,0.05777144432067871,297
celegansneural,4,10,6172,1.0061886310577393,297
celegansneural,4,20,0,0.07198500633239746,297
celegansneural,4,30,0,0.053902626037597656,297
celegansneural,4,50,0,0.049420833587646484,297
celegansneural,4,100,0,0.0481410026550293,297
celegansneural,5,10,374642,407.74810814857483,297
celegansneural,5,20,0,0.0525517463684082,297
celegansneural,5,30,0,0.06224966049194336,297
celegansneural,5,50,0,0.05589866638183594,297
celegansneural,5,100,0,0.03894400596618652,297
facebook_combined,2,10,52265038,-1.0,4039
facebook_combined,2,20,44014116,-1.0,4039
facebook_combined,2,30,31174804,-1.0,4039
facebook_combined,2,50,12581132,-1.0,4039
facebook_combined,2,100,0,0.354050874710083,4039
facebook_combined,3,10,93934233,-1.0,4039
facebook_combined,3,20,55202108,-1.0,4039
facebook_combined,3,30,28082257,-1.0,4039
facebook_combined,3,50,13723314,-1.0,4039
facebook_combined,3,100,0,15.91996145248413,4039
facebook_combined,4,10,72390412,-1.0,4039
facebook_combined,4,20,40231808,-1.0,4039
facebook_combined,4,30,11115369,-1.0,4039
facebook_combined,4,50,14077476,-1.0,4039
facebook_combined,4,100,0,-1.0,4039
facebook_combined,5,10,2725566,-1.0,4039
facebook_combined,5,20,46052080,-1.0,4039
facebook_combined,5,30,17587222,-1.0,4039
facebook_combined,5,50,903870,-1.0,4039
facebook_combined,5,100,0,-1.0,4039
ca-GrQc,2,10,377,0.06750297546386719,5241
ca-GrQc,2,20,118,0.06289029121398926,5241
ca-GrQc,2,30,9,0.06459379196166992,5241
ca-GrQc,2,50,0,0.06304335594177246,5241
ca-GrQc,2,100,0,0.08323407173156738,5241
ca-GrQc,3,10,13352,0.3106100559234619,5241
ca-GrQc,3,20,1568,0.09058761596679688,5241
ca-GrQc,3,30,7,0.048392295837402344,5241
ca-GrQc,3,50,0,0.05372190475463867,5241
ca-GrQc,3,100,0,0.06499624252319336,5241
ca-GrQc,4,10,262694,3.60718035697937,5241
ca-GrQc,4,20,9167,0.1967458724975586,5241
ca-GrQc,4,30,6724,0.18810534477233887,5241
ca-GrQc,4,50,0,0.044801950454711914,5241
ca-GrQc,4,100,0,0.06916928291320801,5241
ca-GrQc,5,10,21672598,426.3425416946411,5241
ca-GrQc,5,20,25337,0.7098233699798584,5241
ca-GrQc,5,30,14830,0.44762706756591797,5241
ca-GrQc,5,50,0,0.057830095291137695,5241
ca-GrQc,5,100,0,0.05659794807434082,5241
wiki-Vote,2,10,9162664,438.16290640830994,7115
wiki-Vote,2,20,52,7.334682464599609,7115
wiki-Vote,2,30,0,1.7553327083587646,7115
wiki-Vote,2,50,0,0.8666553497314453,7115
wiki-Vote,2,100,0,0.05978703498840332,7115
wiki-Vote,3,10,23019324,-1.0,7115
wiki-Vote,3,20,156727,605.4851877689362,7115
wiki-Vote,3,30,0,2.439990520477295,7115
wiki-Vote,3,50,0,1.2668311595916748,7115
wiki-Vote,3,100,0,0.0604405403137207,7115
wiki-Vote,4,10,5854303,-1.0,7115
wiki-Vote,4,20,87167,-1.0,7115
wiki-Vote,4,30,0,7.329764366149902,7115
wiki-Vote,4,50,0,1.1184537410736084,7115
wiki-Vote,4,100,0,0.06667852401733398,7115
wiki-Vote,5,10,20623,-1.0,7115
wiki-Vote,5,20,345827,-1.0,7115
wiki-Vote,5,30,0,-1.0,7115
wiki-Vote,5,50,0,0.9212479591369629,7115
wiki-Vote,5,100,0,0.07279443740844727,7115
lastfm_asia_edges,2,10,9426,0.2531583309173584,7624
lastfm_asia_edges,2,20,0,0.04420828819274902,7624
lastfm_asia_edges,2,30,0,0.04959726333618164,7624
lastfm_asia_edges,2,50,0,0.036528825759887695,7624
lastfm_asia_edges,2,100,0,0.06908416748046875,7624
lastfm_asia_edges,3,10,212906,3.899829626083374,7624
lastfm_asia_edges,3,20,0,0.05578279495239258,7624
lastfm_asia_edges,3,30,0,0.036505937576293945,7624
lastfm_asia_edges,3,50,0,0.0406641960144043,7624
lastfm_asia_edges,3,100,0,0.061943769454956055,7624
lastfm_asia_edges,4,10,5118262,86.9478976726532,7624
lastfm_asia_edges,4,20,73,0.06653928756713867,7624
lastfm_asia_edges,4,30,0,0.05114269256591797,7624
lastfm_asia_edges,4,50,0,0.050447940826416016,7624
lastfm_asia_edges,4,100,0,0.052369117736816406,7624
lastfm_asia_edges,5,10,7079171,-1.0,7624
lastfm_asia_edges,5,20,4717,1.193786382675171,7624
