name,k,q,k-plexes,time,size
karate_edges,2,10,0,8e-06,77
karate_edges,2,20,0,7e-06,77
karate_edges,2,30,0,8e-06,77
karate_edges,2,50,0,7e-06,77
karate_edges,2,100,0,7e-06,77
karate_edges,3,10,0,8e-06,77
karate_edges,3,20,0,8e-06,77
karate_edges,3,30,0,7e-06,77
karate_edges,3,50,0,9e-06,77
karate_edges,3,100,0,8e-06,77
karate_edges,4,10,0,1.3e-05,77
karate_edges,4,20,0,1e-05,77
karate_edges,4,30,0,9e-06,77
karate_edges,4,50,0,1e-05,77
karate_edges,4,100,0,8e-06,77
karate_edges,5,10,0,1.4e-05,77
karate_edges,5,20,0,8e-06,77
karate_edges,5,30,0,8e-06,77
karate_edges,5,50,0,8e-06,77
karate_edges,5,100,0,9e-06,77
jazz,2,10,8059,0.020905,198
jazz,2,20,2,0.000395,198
jazz,2,30,1,0.00011,198
jazz,2,50,0,1.3e-05,198
jazz,2,100,0,1.6e-05,198
jazz,3,10,257233,0.469797,198
jazz,3,20,2,0.000676,198
jazz,3,30,1,0.000116,198
jazz,3,50,0,1.5e-05,198
jazz,3,100,0,1.3e-05,198
jazz,4,10,10079740,19.883939,198
jazz,4,20,479,0.00217,198
jazz,4,30,1,0.000118,198
jazz,4,50,0,1.5e-05,198
jazz,4,100,0,1.3e-05,198
jazz,5,10,392090210,902.708105,198
jazz,5,20,6193,0.018577,198
jazz,5,30,1,0.000118,198
jazz,5,50,0,1.5e-05,198
jazz,5,100,0,1.6e-05,198
celegansneural,2,10,2,0.000162,297
celegansneural,2,20,0,1.7e-05,297
celegansneural,2,30,0,1.8e-05,297
celegansneural,2,50,0,1.8e-05,297
celegansneural,2,100,0,2.2e-05,297
celegansneural,3,10,127,0.000872,297
celegansneural,3,20,0,1.6e-05,297
celegansneural,3,30,0,1.6e-05,297
celegansneural,3,50,0,1.8e-05,297
celegansneural,3,100,0,1.6e-05,297
celegansneural,4,10,6172,0.064375,297
celegansneural,4,20,0,2e-05,297
celegansneural,4,30,0,1.7e-05,297
celegansneural,4,50,0,1.4e-05,297
celegansneural,4,100,0,1.5e-05,297
celegansneural,5,10,374646,7.230906,297
celegansneural,5,20,0,2e-05,297
celegansneural,5,30,0,1.7e-05,297
celegansneural,5,50,0,1.6e-05,297
celegansneural,5,100,0,1.4e-05,297
facebook_combined,2,10,inf,-1.0,4039
facebook_combined,2,20,inf,-1.0,4039
facebook_combined,2,30,inf,-1.0,4039
facebook_combined,2,50,inf,-1.0,4039
facebook_combined,2,100,0,0.016283,4039
facebook_combined,3,10,inf,-1.0,4039
facebook_combined,3,20,inf,-1.0,4039
facebook_combined,3,30,inf,-1.0,4039
facebook_combined,3,50,inf,-1.0,4039
facebook_combined,3,100,0,0.204611,4039
