name,k,q,k-plexes,time,size
karate_edges,2,10,0,0.05500674247741699,77
karate_edges,2,20,0,0.05262589454650879,77
karate_edges,2,30,0,0.04002094268798828,77
karate_edges,2,50,0,0.04837656021118164,77
karate_edges,2,100,0,0.062241554260253906,77
karate_edges,3,10,0,0.05405831336975098,77
karate_edges,3,20,0,0.05306291580200195,77
karate_edges,3,30,0,0.05184149742126465,77
karate_edges,3,50,0,0.05894207954406738,77
karate_edges,3,100,0,0.04927992820739746,77
karate_edges,4,10,0,0.045537710189819336,77
karate_edges,4,20,0,0.044834136962890625,77
karate_edges,4,30,0,0.05110049247741699,77
karate_edges,4,50,0,0.06000185012817383,77
karate_edges,4,100,0,0.05287337303161621,77
karate_edges,5,10,0,0.0633544921875,77
karate_edges,5,20,0,0.05742383003234863,77
karate_edges,5,30,0,0.04726052284240723,77
karate_edges,5,50,0,0.09556722640991211,77
karate_edges,5,100,0,0.029926300048828125,77
jazz,2,10,8059,2.326691150665283,198
jazz,2,20,2,0.036893606185913086,198
jazz,2,30,1,0.005175590515136719,198
jazz,2,50,0,0.005231380462646484,198
jazz,2,100,0,0.005127668380737305,198
jazz,3,10,257233,164.33571934700012,198
jazz,3,20,2,0.7907869815826416,198
jazz,3,30,1,0.005613565444946289,198
jazz,3,50,0,0.00520014762878418,198
jazz,3,100,0,0.004728555679321289,198
jazz,4,10,10079740,51516.14830040932,198
jazz,4,20,479,39.55191421508789,198
jazz,4,30,1,0.005537986755371094,198
jazz,4,50,0,0.004632234573364258,198
jazz,4,100,0,0.005508899688720703,198
jazz,5,10,inf,-1,198
jazz,5,20,6193,341.93197798728943,198
jazz,5,30,1,0.004601001739501953,198
jazz,5,50,0,0.004118204116821289,198
jazz,5,100,0,0.004174232482910156,198
celegansneural,2,10,2,0.018212318420410156,297
celegansneural,2,20,0,0.008466005325317383,297
celegansneural,2,30,0,0.007763862609863281,297
celegansneural,2,50,0,0.009339332580566406,297
celegansneural,2,100,0,0.010097503662109375,297
celegansneural,3,10,127,0.14305543899536133,297
celegansneural,3,20,0,0.006681680679321289,297
celegansneural,3,30,0,0.008697986602783203,297
celegansneural,3,50,0,0.0071222782135009766,297
celegansneural,3,100,0,0.009507894515991211,297
celegansneural,4,10,6172,4.378282785415649,297
celegansneural,4,20,0,0.008220434188842773,297
celegansneural,4,30,0,0.007953643798828125,297
celegansneural,4,50,0,0.007805824279785156,297
celegansneural,4,100,0,0.010684013366699219,297
celegansneural,5,10,374646,787.9847249984741,297
celegansneural,5,20,0,0.009193181991577148,297
celegansneural,5,30,0,0.00905156135559082,297
celegansneural,5,50,0,0.009210586547851562,297
celegansneural,5,100,0,0.008817911148071289,297
facebook_combined,2,10,inf,-1,4039
facebook_combined,2,20,inf,-1,4039
facebook_combined,2,30,inf,-1,4039
facebook_combined,2,50,inf,-1,4039
facebook_combined,2,100,inf,-1,4039
facebook_combined,3,10,inf,-1,4039
facebook_combined,3,20,inf,-1,4039
facebook_combined,3,30,inf,-1,4039
facebook_combined,3,50,inf,-1,4039
facebook_combined,3,100,inf,-1,4039
facebook_combined,4,10,inf,-1,4039
facebook_combined,4,20,inf,-1,4039
facebook_combined,4,30,inf,-1,4039
facebook_combined,4,50,inf,-1,4039
facebook_combined,4,100,inf,-1,4039
facebook_combined,5,10,inf,-1,4039
facebook_combined,5,20,inf,-1,4039
facebook_combined,5,30,inf,-1,4039
facebook_combined,5,50,inf,-1,4039
facebook_combined,5,100,inf,-1,4039
ca-GrQc,2,10,377,0.09565496444702148,5241
ca-GrQc,2,20,118,0.0497891902923584,5241
ca-GrQc,2,30,9,0.047057151794433594,5241
ca-GrQc,2,50,0,0.037116050720214844,5241
ca-GrQc,2,100,0,0.03494858741760254,5241
ca-GrQc,3,10,13356,0.591717004776001,5241
ca-GrQc,3,20,1568,0.07983565330505371,5241
ca-GrQc,3,30,7,0.04626345634460449,5241
ca-GrQc,3,50,0,0.03709554672241211,5241
ca-GrQc,3,100,0,0.03600287437438965,5241
ca-GrQc,4,10,262724,287.7944931983948,5241
ca-GrQc,4,20,9167,0.15510225296020508,5241
ca-GrQc,4,30,6724,0.18097281455993652,5241
ca-GrQc,4,50,0,0.03822159767150879,5241
ca-GrQc,4,100,0,0.04157304763793945,5241
ca-GrQc,5,10,21672598,207297.10962033272,5241
ca-GrQc,5,20,25337,0.3715043067932129,5241
ca-GrQc,5,30,14830,0.4561431407928467,5241
ca-GrQc,5,50,0,0.036782026290893555,5241
ca-GrQc,5,100,0,0.039427995681762695,5241
wiki-Vote,2,10,inf,-2,7115
wiki-Vote,2,20,52,1099.2983586788177,7115
wiki-Vote,2,30,0,6.913807153701782,7115
wiki-Vote,2,50,0,0.3161945343017578,7115
wiki-Vote,2,100,0,0.037290334701538086,7115
wiki-Vote,3,10,inf,-2,7115
wiki-Vote,3,20,inf,-1,7115
wiki-Vote,3,30,inf,-1,7115
wiki-Vote,3,50,0,1.167064905166626,7115
wiki-Vote,3,100,0,0.03537702560424805,7115
