name,k,q,k-plexes,time,size
karate_edges,2,10,0,0.06807565689086914,77
karate_edges,2,20,0,0.05620718002319336,77
karate_edges,2,30,0,0.04305768013000488,77
karate_edges,2,50,0,0.039229393005371094,77
karate_edges,2,100,0,0.06737041473388672,77
karate_edges,3,10,0,0.06675887107849121,77
karate_edges,3,20,0,0.06487679481506348,77
karate_edges,3,30,0,0.05268669128417969,77
karate_edges,3,50,0,0.06650710105895996,77
karate_edges,3,100,0,0.054834842681884766,77
karate_edges,4,10,0,0.04245615005493164,77
karate_edges,4,20,0,0.047516822814941406,77
karate_edges,4,30,0,0.06473398208618164,77
karate_edges,4,50,0,0.06116342544555664,77
karate_edges,4,100,0,0.03952527046203613,77
karate_edges,5,10,0,0.05087757110595703,77
karate_edges,5,20,0,0.07019162178039551,77
karate_edges,5,30,0,0.05939316749572754,77
karate_edges,5,50,0,0.0754859447479248,77
karate_edges,5,100,0,0.05077838897705078,77
jazz,2,10,8059,0.05652356147766113,198
jazz,2,20,2,0.00565648078918457,198
jazz,2,30,1,0.005449771881103516,198
jazz,2,50,0,0.005690574645996094,198
jazz,2,100,0,0.005259990692138672,198
jazz,3,10,257233,1.6260478496551514,198
jazz,3,20,2,0.006639242172241211,198
jazz,3,30,1,0.005634307861328125,198
jazz,3,50,0,0.005127906799316406,198
jazz,3,100,0,0.005138397216796875,198
jazz,4,10,10079740,56.940011978149414,198
jazz,4,20,479,0.020813465118408203,198
jazz,4,30,1,0.00554966926574707,198
jazz,4,50,0,0.005384683609008789,198
jazz,4,100,0,0.00504755973815918,198
jazz,5,10,392090210,2527.9472556114197,198
jazz,5,20,6193,1.1546940803527832,198
jazz,5,30,1,0.005376338958740234,198
jazz,5,50,0,0.005339145660400391,198
jazz,5,100,0,0.005311250686645508,198
celegansneural,2,10,2,0.00680232048034668,297
celegansneural,2,20,0,0.0060749053955078125,297
celegansneural,2,30,0,0.006204128265380859,297
celegansneural,2,50,0,0.0055696964263916016,297
celegansneural,2,100,0,0.006067037582397461,297
celegansneural,3,10,127,0.008660078048706055,297
celegansneural,3,20,0,0.007521390914916992,297
celegansneural,3,30,0,0.0054857730865478516,297
celegansneural,3,50,0,0.0062084197998046875,297
celegansneural,3,100,0,0.005213737487792969,297
celegansneural,4,10,6172,1.0206117630004883,297
celegansneural,4,20,0,0.005368232727050781,297
celegansneural,4,30,0,0.00701451301574707,297
celegansneural,4,50,0,0.005625009536743164,297
celegansneural,4,100,0,0.005169391632080078,297
celegansneural,5,10,374646,164.71403670310974,297
celegansneural,5,20,0,0.004590511322021484,297
celegansneural,5,30,0,0.005057811737060547,297
celegansneural,5,50,0,0.0053369998931884766,297
celegansneural,5,100,0,0.005335092544555664,297
facebook_combined,2,10,,,4039
facebook_combined,2,20,inf,-1.0,4039
facebook_combined,2,30,,,4039
facebook_combined,2,50,inf,-1.0,4039
facebook_combined,2,100,0,6.805611610412598,4039
facebook_combined,3,10,,,4039
facebook_combined,3,20,,,4039
facebook_combined,3,30,inf,-1.0,4039
facebook_combined,3,50,,,4039
facebook_combined,3,100,inf,-1.0,4039
facebook_combined,4,10,,,4039
facebook_combined,4,20,inf,-1.0,4039
facebook_combined,4,30,,,4039
facebook_combined,4,50,inf,-1.0,4039
facebook_combined,4,100,,,4039
facebook_combined,5,10,inf,-1.0,4039
facebook_combined,5,20,,,4039
facebook_combined,5,30,inf,-1.0,4039
facebook_combined,5,50,,,4039
facebook_combined,5,100,inf,-1.0,4039
ca-GrQc,2,10,377,0.029214143753051758,5241
ca-GrQc,2,20,118,0.027055978775024414,5241
ca-GrQc,2,30,9,0.02579522132873535,5241
ca-GrQc,2,50,0,0.023329496383666992,5241
ca-GrQc,2,100,0,0.027286529541015625,5241
ca-GrQc,3,10,13352,0.047304630279541016,5241
ca-GrQc,3,20,1568,0.027111291885375977,5241
ca-GrQc,3,30,7,0.021059274673461914,5241
ca-GrQc,3,50,0,0.022202491760253906,5241
ca-GrQc,3,100,0,0.02130913734436035,5241
ca-GrQc,4,10,262694,0.88706374168396,5241
ca-GrQc,4,20,9167,0.035662174224853516,5241
ca-GrQc,4,30,6724,0.04894137382507324,5241
ca-GrQc,4,50,0,0.019589662551879883,5241
ca-GrQc,4,100,0,0.02001333236694336,5241
ca-GrQc,5,10,21672598,97.556711435318,5241
ca-GrQc,5,20,25337,0.09497237205505371,5241
ca-GrQc,5,30,14830,0.06515932083129883,5241
ca-GrQc,5,50,0,0.018045902252197266,5241
ca-GrQc,5,100,0,0.018501996994018555,5241
wiki-Vote,2,10,9162664,155.49501252174377,7115
wiki-Vote,2,20,52,10.652853965759277,7115
wiki-Vote,2,30,0,0.05041933059692383,7115
wiki-Vote,2,50,0,0.04436063766479492,7115
wiki-Vote,2,100,0,0.04211735725402832,7115
wiki-Vote,3,10,,,7115
wiki-Vote,3,20,156727,1698.4699034690857,7115
wiki-Vote,3,30,0,0.04820394515991211,7115
wiki-Vote,3,50,0,0.042810678482055664,7115
wiki-Vote,3,100,0,0.039276838302612305,7115
wiki-Vote,4,10,,,7115
wiki-Vote,4,20,inf,-1.0,7115
wiki-Vote,4,30,0,0.09679818153381348,7115
wiki-Vote,4,50,0,0.04447793960571289,7115
wiki-Vote,4,100,0,0.04004502296447754,7115
wiki-Vote,5,10,,,7115
wiki-Vote,5,20,,,7115
wiki-Vote,5,30,inf,-1.0,7115
wiki-Vote,5,50,0,0.04609107971191406,7115
wiki-Vote,5,100,0,0.04397702217102051,7115
lastfm_asia_edges,2,10,9426,0.06057906150817871,7624
lastfm_asia_edges,2,20,0,0.020746946334838867,7624
lastfm_asia_edges,2,30,0,0.02135634422302246,7624
lastfm_asia_edges,2,50,0,0.0198519229888916,7624
lastfm_asia_edges,2,100,0,0.017609119415283203,7624
lastfm_asia_edges,3,10,212906,1.0678589344024658,7624
lastfm_asia_edges,3,20,0,0.015131473541259766,7624
lastfm_asia_edges,3,30,0,0.016106605529785156,7624
lastfm_asia_edges,3,50,0,0.015866756439208984,7624
lastfm_asia_edges,3,100,0,0.01605677604675293,7624
